,Test Type,Vowel,Other Vowel,Correctness,File One,File Two
0,BareVowel,ʊ,N/A,True,recordings\BareVowel_ʊ_1.wav,recordings\BareVowel_ʊ_2.wav
1,BareVowel,eɪ,N/A,True,recordings\BareVowel_eɪ_2.wav,recordings\BareVowel_eɪ_1.wav
2,BareVowel,ɛ,N/A,True,recordings\BareVowel_ɛ_2.wav,recordings\BareVowel_ɛ_1.wav
3,BareVowel,oʊ,N/A,True,recordings\BareVowel_oʊ_1.wav,recordings\BareVowel_oʊ_2.wav
4,BareVowel,ʌ,N/A,True,recordings\BareVowel_ʌ_2.wav,recordings\BareVowel_ʌ_1.wav
5,BareVowel,ʌ,ɪ,True,recordings\BareVowel_ʌ_1.wav,recordings\BareVowel_ɪ_2.wav
6,BareVowel,a,N/A,True,recordings\BareVowel_a_1.wav,recordings\BareVowel_a_2.wav
7,BareVowel,i,a,True,recordings\BareVowel_i_1.wav,recordings\BareVowel_a_1.wav
8,BareVowel,u,N/A,True,recordings\BareVowel_u_1.wav,recordings\BareVowel_u_2.wav
9,BareVowel,ɪ,ɛ,True,recordings\BareVowel_ɪ_2.wav,recordings\BareVowel_ɛ_1.wav
10,BareVowel,ɛ,ʊ,True,recordings\BareVowel_ɛ_1.wav,recordings\BareVowel_ʊ_2.wav
11,BareVowel,i,æ,True,recordings\BareVowel_i_2.wav,recordings\BareVowel_æ_1.wav
12,BareVowel,a,N/A,True,recordings\BareVowel_a_1.wav,recordings\BareVowel_a_2.wav
13,BareVowel,ɛ,N/A,True,recordings\BareVowel_ɛ_1.wav,recordings\BareVowel_ɛ_2.wav
14,BareVowel,ʊ,a,True,recordings\BareVowel_ʊ_1.wav,recordings\BareVowel_a_1.wav
15,BareVowel,eɪ,N/A,True,recordings\BareVowel_eɪ_2.wav,recordings\BareVowel_eɪ_1.wav
16,BareVowel,æ,u,True,recordings\BareVowel_æ_2.wav,recordings\BareVowel_u_2.wav
17,BareVowel,u,æ,True,recordings\BareVowel_u_2.wav,recordings\BareVowel_æ_2.wav
18,BareVowel,æ,N/A,True,recordings\BareVowel_æ_1.wav,recordings\BareVowel_æ_2.wav
19,BareVowel,ɪ,N/A,True,recordings\BareVowel_ɪ_1.wav,recordings\BareVowel_ɪ_2.wav
20,BareVowel,oʊ,ɪ,True,recordings\BareVowel_oʊ_2.wav,recordings\BareVowel_ɪ_2.wav
21,BareVowel,ɛ,N/A,True,recordings\BareVowel_ɛ_1.wav,recordings\BareVowel_ɛ_2.wav
22,BareVowel,ɛ,a,True,recordings\BareVowel_ɛ_2.wav,recordings\BareVowel_a_2.wav
23,BareVowel,eɪ,N/A,True,recordings\BareVowel_eɪ_1.wav,recordings\BareVowel_eɪ_2.wav
24,BareVowel,i,a,True,recordings\BareVowel_i_2.wav,recordings\BareVowel_a_1.wav
25,SameCons,ʌ,ɛ,True,recordings\SameCons_ʌ_1.wav,recordings\SameCons_ɛ_2.wav
26,SameCons,i,N/A,True,recordings\SameCons_i_1.wav,recordings\SameCons_i_2.wav
27,SameCons,ɛ,u,True,recordings\SameCons_ɛ_1.wav,recordings\SameCons_u_1.wav
28,SameCons,ɪ,N/A,True,recordings\SameCons_ɪ_1.wav,recordings\SameCons_ɪ_2.wav
29,SameCons,ʌ,N/A,True,recordings\SameCons_ʌ_2.wav,recordings\SameCons_ʌ_1.wav
30,SameCons,ɛ,æ,False,recordings\SameCons_ɛ_1.wav,recordings\SameCons_æ_2.wav
31,SameCons,ɛ,N/A,True,recordings\SameCons_ɛ_2.wav,recordings\SameCons_ɛ_1.wav
32,SameCons,oʊ,ɪ,True,recordings\SameCons_oʊ_1.wav,recordings\SameCons_ɪ_2.wav
33,SameCons,u,N/A,True,recordings\SameCons_u_2.wav,recordings\SameCons_u_1.wav
34,SameCons,eɪ,N/A,True,recordings\SameCons_eɪ_2.wav,recordings\SameCons_eɪ_1.wav
35,SameCons,ɪ,N/A,True,recordings\SameCons_ɪ_2.wav,recordings\SameCons_ɪ_1.wav
36,SameCons,ʊ,N/A,True,recordings\SameCons_ʊ_2.wav,recordings\SameCons_ʊ_1.wav
37,SameCons,eɪ,ʊ,True,recordings\SameCons_eɪ_2.wav,recordings\SameCons_ʊ_1.wav
38,SameCons,ɛ,a,True,recordings\SameCons_ɛ_1.wav,recordings\SameCons_a_2.wav
39,SameCons,i,N/A,True,recordings\SameCons_i_1.wav,recordings\SameCons_i_2.wav
40,SameCons,eɪ,N/A,True,recordings\SameCons_eɪ_1.wav,recordings\SameCons_eɪ_2.wav
41,SameCons,eɪ,N/A,True,recordings\SameCons_eɪ_1.wav,recordings\SameCons_eɪ_2.wav
42,SameCons,oʊ,N/A,True,recordings\SameCons_oʊ_1.wav,recordings\SameCons_oʊ_2.wav
43,SameCons,eɪ,N/A,True,recordings\SameCons_eɪ_2.wav,recordings\SameCons_eɪ_1.wav
44,SameCons,æ,N/A,True,recordings\SameCons_æ_2.wav,recordings\SameCons_æ_1.wav
45,SameCons,ɛ,ɪ,False,recordings\SameCons_ɛ_1.wav,recordings\SameCons_ɪ_2.wav
46,SameCons,u,N/A,False,recordings\SameCons_u_1.wav,recordings\SameCons_u_2.wav
