,Test Type,Vowel,Other Vowel,Correctness,File One,File Two
0,BareVowel,ʌ,oʊ,True,recordings\BareVowel_ʌ_2.wav,recordings\BareVowel_oʊ_2.wav
1,BareVowel,ʊ,N/A,True,recordings\BareVowel_ʊ_2.wav,recordings\BareVowel_ʊ_1.wav
2,BareVowel,u,i,True,recordings\BareVowel_u_2.wav,recordings\BareVowel_i_2.wav
3,BareVowel,oʊ,N/A,True,recordings\BareVowel_oʊ_2.wav,recordings\BareVowel_oʊ_1.wav
4,BareVowel,a,i,True,recordings\BareVowel_a_1.wav,recordings\BareVowel_i_1.wav
5,BareVowel,ʌ,N/A,True,recordings\BareVowel_ʌ_2.wav,recordings\BareVowel_ʌ_1.wav
6,BareVowel,æ,eɪ,True,recordings\BareVowel_æ_2.wav,recordings\BareVowel_eɪ_1.wav
7,BareVowel,ʊ,N/A,True,recordings\BareVowel_ʊ_1.wav,recordings\BareVowel_ʊ_2.wav
8,BareVowel,ʊ,N/A,True,recordings\BareVowel_ʊ_1.wav,recordings\BareVowel_ʊ_2.wav
9,BareVowel,ʌ,ɪ,True,recordings\BareVowel_ʌ_2.wav,recordings\BareVowel_ɪ_1.wav
10,BareVowel,ʌ,N/A,True,recordings\BareVowel_ʌ_1.wav,recordings\BareVowel_ʌ_2.wav
11,BareVowel,ʌ,N/A,True,recordings\BareVowel_ʌ_2.wav,recordings\BareVowel_ʌ_1.wav
12,BareVowel,æ,N/A,True,recordings\BareVowel_æ_2.wav,recordings\BareVowel_æ_1.wav
13,BareVowel,a,N/A,True,recordings\BareVowel_a_1.wav,recordings\BareVowel_a_2.wav
14,BareVowel,ɪ,N/A,True,recordings\BareVowel_ɪ_2.wav,recordings\BareVowel_ɪ_1.wav
15,BareVowel,u,æ,True,recordings\BareVowel_u_1.wav,recordings\BareVowel_æ_2.wav
16,BareVowel,ɪ,ʌ,True,recordings\BareVowel_ɪ_2.wav,recordings\BareVowel_ʌ_1.wav
17,BareVowel,æ,a,True,recordings\BareVowel_æ_2.wav,recordings\BareVowel_a_1.wav
18,BareVowel,a,N/A,True,recordings\BareVowel_a_2.wav,recordings\BareVowel_a_1.wav
19,BareVowel,ɪ,N/A,True,recordings\BareVowel_ɪ_1.wav,recordings\BareVowel_ɪ_2.wav
20,BareVowel,oʊ,N/A,True,recordings\BareVowel_oʊ_2.wav,recordings\BareVowel_oʊ_1.wav
21,BareVowel,eɪ,N/A,True,recordings\BareVowel_eɪ_2.wav,recordings\BareVowel_eɪ_1.wav
22,BareVowel,eɪ,N/A,True,recordings\BareVowel_eɪ_2.wav,recordings\BareVowel_eɪ_1.wav
23,BareVowel,i,N/A,True,recordings\BareVowel_i_1.wav,recordings\BareVowel_i_2.wav
24,BareVowel,ɪ,eɪ,True,recordings\BareVowel_ɪ_1.wav,recordings\BareVowel_eɪ_1.wav
25,SameCons,i,N/A,True,recordings\SameCons_i_2.wav,recordings\SameCons_i_1.wav
26,SameCons,i,N/A,True,recordings\SameCons_i_2.wav,recordings\SameCons_i_1.wav
27,SameCons,oʊ,N/A,True,recordings\SameCons_oʊ_2.wav,recordings\SameCons_oʊ_1.wav
28,SameCons,ʊ,ɛ,True,recordings\SameCons_ʊ_1.wav,recordings\SameCons_ɛ_1.wav
29,SameCons,æ,N/A,True,recordings\SameCons_æ_1.wav,recordings\SameCons_æ_2.wav
30,SameCons,ɛ,N/A,True,recordings\SameCons_ɛ_1.wav,recordings\SameCons_ɛ_2.wav
31,SameCons,ɛ,ʌ,True,recordings\SameCons_ɛ_2.wav,recordings\SameCons_ʌ_2.wav
32,SameCons,i,ɛ,True,recordings\SameCons_i_2.wav,recordings\SameCons_ɛ_1.wav
33,SameCons,eɪ,oʊ,True,recordings\SameCons_eɪ_1.wav,recordings\SameCons_oʊ_2.wav
