,Test Type,Vowel,Other Vowel,Correctness,File One,File Two
0,BareVowel,a,N/A,True,recordings\BareVowel_a_1.wav,recordings\BareVowel_a_2.wav
1,BareVowel,ɪ,ʌ,True,recordings\BareVowel_ɪ_2.wav,recordings\BareVowel_ʌ_1.wav
2,BareVowel,ɛ,N/A,True,recordings\BareVowel_ɛ_1.wav,recordings\BareVowel_ɛ_2.wav
3,BareVowel,eɪ,ɪ,True,recordings\BareVowel_eɪ_2.wav,recordings\BareVowel_ɪ_1.wav
4,BareVowel,oʊ,ʌ,True,recordings\BareVowel_oʊ_2.wav,recordings\BareVowel_ʌ_1.wav
5,BareVowel,u,æ,True,recordings\BareVowel_u_1.wav,recordings\BareVowel_æ_1.wav
6,BareVowel,ʊ,ɪ,True,recordings\BareVowel_ʊ_2.wav,recordings\BareVowel_ɪ_2.wav
7,BareVowel,ɛ,N/A,True,recordings\BareVowel_ɛ_1.wav,recordings\BareVowel_ɛ_2.wav
8,BareVowel,i,eɪ,True,recordings\BareVowel_i_2.wav,recordings\BareVowel_eɪ_1.wav
9,BareVowel,ɪ,N/A,True,recordings\BareVowel_ɪ_1.wav,recordings\BareVowel_ɪ_2.wav
10,BareVowel,æ,N/A,True,recordings\BareVowel_æ_1.wav,recordings\BareVowel_æ_2.wav
11,BareVowel,i,N/A,True,recordings\BareVowel_i_2.wav,recordings\BareVowel_i_1.wav
12,BareVowel,eɪ,æ,True,recordings\BareVowel_eɪ_1.wav,recordings\BareVowel_æ_2.wav
13,BareVowel,oʊ,N/A,True,recordings\BareVowel_oʊ_2.wav,recordings\BareVowel_oʊ_1.wav
14,BareVowel,ɛ,ʊ,True,recordings\BareVowel_ɛ_2.wav,recordings\BareVowel_ʊ_1.wav
15,BareVowel,ɛ,N/A,True,recordings\BareVowel_ɛ_1.wav,recordings\BareVowel_ɛ_2.wav
16,BareVowel,eɪ,N/A,True,recordings\BareVowel_eɪ_2.wav,recordings\BareVowel_eɪ_1.wav
17,BareVowel,ʊ,ʌ,True,recordings\BareVowel_ʊ_1.wav,recordings\BareVowel_ʌ_1.wav
18,BareVowel,eɪ,æ,True,recordings\BareVowel_eɪ_2.wav,recordings\BareVowel_æ_2.wav
19,BareVowel,ɪ,u,True,recordings\BareVowel_ɪ_1.wav,recordings\BareVowel_u_2.wav
20,BareVowel,oʊ,N/A,True,recordings\BareVowel_oʊ_1.wav,recordings\BareVowel_oʊ_2.wav
21,BareVowel,æ,ʊ,True,recordings\BareVowel_æ_1.wav,recordings\BareVowel_ʊ_2.wav
22,BareVowel,a,i,True,recordings\BareVowel_a_1.wav,recordings\BareVowel_i_2.wav
23,BareVowel,oʊ,ɪ,True,recordings\BareVowel_oʊ_1.wav,recordings\BareVowel_ɪ_1.wav
24,BareVowel,u,N/A,True,recordings\BareVowel_u_1.wav,recordings\BareVowel_u_2.wav
25,SameCons,i,æ,True,recordings\SameCons_i_1.wav,recordings\SameCons_æ_2.wav
